,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Date Filed 2016,File Name 2016,Url 2016,sentimento 2016,Date Filed 2017,File Name 2017,Url 2017,sentimento 2017,Date Filed 2018,File Name 2018,Url 2018,sentimento 2018,Date Filed 2019,File Name 2019,Url 2019,sentimento 2019,Date Filed 2020,File Name 2020,Url 2020,sentimento 2020,retorno_7d 2020,retorno_1d 2020,retorno_7d 2019,retorno_1d 2019,retorno_7d 2018,retorno_1d 2018,retorno_7d 2017,retorno_1d 2017,retorno_7d 2016,retorno_1d 2016
133,OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,Houston; Texas,1982-12-31,797468,1920,2016-02-26,797468_0000797468-16-000017.mda,https://www.sec.gov/Archives/edgar/data/797468/0000797468-16-000017.txt,0.00,2017-02-23,797468_0000797468-17-000003.mda,https://www.sec.gov/Archives/edgar/data/797468/0000797468-17-000003.txt,0.00,2018-02-23,797468_0000797468-18-000005.mda,https://www.sec.gov/Archives/edgar/data/797468/0000797468-18-000005.txt,0.00,2019-02-21,797468_0000797468-19-000004.mda,https://www.sec.gov/Archives/edgar/data/797468/0000797468-19-000004.txt,0.00,2020-02-28,797468_0000797468-20-000004.mda,https://www.sec.gov/Archives/edgar/data/797468/0000797468-20-000004.txt,2.05,-0.16,0.04,-0.03,-0.03,-0.03,-0.01,-0.01,-0.02,0.00,-0.01
134,CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,Chicago; Illinois,1983-08-31,23217,1919,2016-07-15,23217_0001628280-16-017613.mda,https://www.sec.gov/Archives/edgar/data/23217/0001628280-16-017613.txt,0.00,2017-07-21,23217_0001628280-17-007184.mda,https://www.sec.gov/Archives/edgar/data/23217/0001628280-17-007184.txt,-2.34,2018-07-20,23217_0000023217-18-000005.mda,https://www.sec.gov/Archives/edgar/data/23217/0000023217-18-000005.txt,-1.72,2019-07-19,23217_0000023217-19-000006.mda,https://www.sec.gov/Archives/edgar/data/23217/0000023217-19-000006.txt,-1.68,2020-07-24,23217_0001564590-20-033366.mda,https://www.sec.gov/Archives/edgar/data/23217/0001564590-20-033366.txt,-0.24,0.02,0.00,0.00,-0.03,0.03,-0.01,0.01,0.00,-0.02,0.00
135,BBWI,Bath & Body Works; Inc.,reports,Consumer Discretionary,Specialty Stores,Columbus; Ohio,1983-09-30,701985,1963,2016-03-18,701985_0000701985-16-000051.mda,https://www.sec.gov/Archives/edgar/data/701985/0000701985-16-000051.txt,4.29,2017-03-17,701985_0000701985-17-000022.mda,https://www.sec.gov/Archives/edgar/data/701985/0000701985-17-000022.txt,2.36,2018-03-23,701985_0000701985-18-000018.mda,https://www.sec.gov/Archives/edgar/data/701985/0000701985-18-000018.txt,1.10,2019-03-22,701985_0000701985-19-000015.mda,https://www.sec.gov/Archives/edgar/data/701985/0000701985-19-000015.txt,0.64,2020-03-30,701985_0000701985-20-000010.mda,https://www.sec.gov/Archives/edgar/data/701985/0000701985-20-000010.txt,-1.83,0.06,-0.02,-0.01,-0.02,-0.03,-0.01,-0.05,0.01,0.00,0.00
136,T,AT&T,reports,Communication Services,Integrated Telecommunication Services,Dallas; Texas,1983-11-30 (1957-03-04),732717,1983 (1885),2016-02-18,732717_0000732717-16-000147.mda,https://www.sec.gov/Archives/edgar/data/732717/0000732717-16-000147.txt,0.00,2017-02-17,732717_0000732717-17-000021.mda,https://www.sec.gov/Archives/edgar/data/732717/0000732717-17-000021.txt,0.00,2018-02-20,732717_0000732717-18-000009.mda,https://www.sec.gov/Archives/edgar/data/732717/0000732717-18-000009.txt,0.00,2019-02-20,732717_0001193125-19-045608.mda,https://www.sec.gov/Archives/edgar/data/732717/0001193125-19-045608.txt,0.00,2020-02-20,732717_0001562762-20-000064.mda,https://www.sec.gov/Archives/edgar/data/732717/0001562762-20-000064.txt,1.66,-0.07,0.00,0.01,0.01,0.00,-0.01,0.03,0.00,0.02,0.00
137,VZ,Verizon Communications,reports,Communication Services,Integrated Telecommunication Services,New York City; New York,1983-11-30,732712,1983 (1877),2016-02-23,732712_0001193125-16-473367.mda,https://www.sec.gov/Archives/edgar/data/732712/0001193125-16-473367.txt,0.00,2017-02-21,732712_0001193125-17-050292.mda,https://www.sec.gov/Archives/edgar/data/732712/0001193125-17-050292.txt,0.00,2018-02-23,732712_0000732712-18-000009.mda,https://www.sec.gov/Archives/edgar/data/732712/0000732712-18-000009.txt,0.00,2019-02-15,732712_0000732712-19-000012.mda,https://www.sec.gov/Archives/edgar/data/732712/0000732712-19-000012.txt,0.00,2020-02-21,732712_0000732712-20-000014.mda,https://www.sec.gov/Archives/edgar/data/732712/0000732712-20-000014.txt,0.00,-0.07,0.00,0.05,0.03,0.01,0.03,0.00,0.00,0.01,0.00
138,LOW,Lowe's,reports,Consumer Discretionary,Home Improvement Retail,Mooresville; North Carolina,1984-02-29,60667,1904/1946/1959,2016-03-29,60667_0000060667-16-000276.mda,https://www.sec.gov/Archives/edgar/data/60667/0000060667-16-000276.txt,4.60,2017-04-04,60667_0000060667-17-000076.mda,https://www.sec.gov/Archives/edgar/data/60667/0000060667-17-000076.txt,4.84,2018-04-02,60667_0000060667-18-000051.mda,https://www.sec.gov/Archives/edgar/data/60667/0000060667-18-000051.txt,4.06,2019-04-02,60667_0000060667-19-000042.mda,https://www.sec.gov/Archives/edgar/data/60667/0000060667-19-000042.txt,1.90,2020-03-23,60667_0000060667-20-000036.mda,https://www.sec.gov/Archives/edgar/data/60667/0000060667-20-000036.txt,2.23,0.31,0.14,0.04,0.03,0.01,0.01,0.00,-0.01,0.01,0.01
139,PHM,PulteGroup,reports,Consumer Discretionary,Homebuilding,Atlanta; Georgia,1984-04-30,822416,1956,2016-02-08,822416_0000822416-16-000048.mda,https://www.sec.gov/Archives/edgar/data/822416/0000822416-16-000048.txt,1.15,2017-02-01,822416_0000822416-17-000008.mda,https://www.sec.gov/Archives/edgar/data/822416/0000822416-17-000008.txt,2.92,2018-02-07,822416_0000822416-18-000009.mda,https://www.sec.gov/Archives/edgar/data/822416/0000822416-18-000009.txt,3.41,2019-01-31,822416_0000822416-19-000008.mda,https://www.sec.gov/Archives/edgar/data/822416/0000822416-19-000008.txt,2.73,2020-01-30,822416_0000822416-20-000007.mda,https://www.sec.gov/Archives/edgar/data/822416/0000822416-20-000007.txt,2.97,-0.01,-0.03,-0.01,0.00,-0.02,-0.05,-0.01,-0.01,0.00,0.01
140,HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,New York City; New York,1984-05-31,4447,1919,2016-02-26,4447_0001564590-16-013433.mda,https://www.sec.gov/Archives/edgar/data/4447/0001564590-16-013433.txt,-3.08,2017-02-23,4447_0001564590-17-002225.mda,https://www.sec.gov/Archives/edgar/data/4447/0001564590-17-002225.txt,-3.29,2018-02-21,4447_0001564590-18-002698.mda,https://www.sec.gov/Archives/edgar/data/4447/0001564590-18-002698.txt,-3.32,2019-02-21,4447_0001564590-19-003671.mda,https://www.sec.gov/Archives/edgar/data/4447/0001564590-19-003671.txt,-2.90,2020-02-20,4447_0001564590-20-005545.mda,https://www.sec.gov/Archives/edgar/data/4447/0001564590-20-005545.txt,-2.53,-0.13,0.01,-0.01,-0.03,-0.01,0.03,0.00,0.02,0.16,0.05
141,LMT,Lockheed Martin,reports,Industrials,Aerospace & Defense,Bethesda; Maryland,1984-07-31,936468,1995,2016-02-24,936468_0001193125-16-476010.mda,https://www.sec.gov/Archives/edgar/data/936468/0001193125-16-476010.txt,-1.73,2017-02-09,936468_0001193125-17-036192.mda,https://www.sec.gov/Archives/edgar/data/936468/0001193125-17-036192.txt,-0.35,2018-02-06,936468_0000936468-18-000009.mda,https://www.sec.gov/Archives/edgar/data/936468/0000936468-18-000009.txt,0.40,2019-02-08,936468_0000936468-19-000009.mda,https://www.sec.gov/Archives/edgar/data/936468/0000936468-19-000009.txt,0.97,2020-02-07,936468_0000936468-20-000016.mda,https://www.sec.gov/Archives/edgar/data/936468/0000936468-20-000016.txt,0.98,0.00,0.00,0.02,0.00,0.04,0.03,0.03,0.01,0.01,0.02
142,HAS,Hasbro,reports,Consumer Discretionary,Leisure Products,Pawtucket; Rhode Island,1984-09-30,46080,1923,2016-02-24,46080_0001193125-16-475520.mda,https://www.sec.gov/Archives/edgar/data/46080/0001193125-16-475520.txt,1.50,2017-02-22,46080_0001193125-17-052143.mda,https://www.sec.gov/Archives/edgar/data/46080/0001193125-17-052143.txt,1.51,2018-02-26,46080_0001193125-18-058659.mda,https://www.sec.gov/Archives/edgar/data/46080/0001193125-18-058659.txt,1.19,2019-02-26,46080_0001193125-19-052025.mda,https://www.sec.gov/Archives/edgar/data/46080/0001193125-19-052025.txt,-1.86,2020-02-27,46080_0000046080-20-000028.mda,https://www.sec.gov/Archives/edgar/data/46080/0000046080-20-000028.txt,-2.09,-0.10,-0.06,0.03,-0.02,-0.02,-0.01,-0.01,-0.02,0.06,0.02
143,BLL,Ball Corp,reports,Materials,Metal & Glass Containers,Broomfield; Colorado,1984-10-31,9389,1880,2016-02-16,9389_0001104659-16-097390.mda,https://www.sec.gov/Archives/edgar/data/9389/0001104659-16-097390.txt,0.42,2017-03-02,9389_0001558370-17-001300.mda,https://www.sec.gov/Archives/edgar/data/9389/0001558370-17-001300.txt,0.18,2018-03-01,9389_0001558370-18-001345.mda,https://www.sec.gov/Archives/edgar/data/9389/0001558370-18-001345.txt,2.94,2019-02-22,9389_0001558370-19-000909.mda,https://www.sec.gov/Archives/edgar/data/9389/0001558370-19-000909.txt,4.11,2020-02-19,9389_0001558370-20-001005.mda,https://www.sec.gov/Archives/edgar/data/9389/0001558370-20-001005.txt,0.00,-0.03,-0.02,0.01,0.01,0.03,-0.01,-0.02,-0.02,0.00,0.00
144,APD,Air Products & Chemicals,reports,Materials,Industrial Gases,Allentown; Pennsylvania,1985-04-30,2969,1940,2016-11-21,2969_0001193125-16-773346.mda,https://www.sec.gov/Archives/edgar/data/2969/0001193125-16-773346.txt,1.18,2017-11-16,2969_0000002969-17-000039.mda,https://www.sec.gov/Archives/edgar/data/2969/0000002969-17-000039.txt,0.07,2018-11-20,2969_0000002969-18-000044.mda,https://www.sec.gov/Archives/edgar/data/2969/0000002969-18-000044.txt,1.23,2019-11-26,2969_0000002969-19-000051.mda,https://www.sec.gov/Archives/edgar/data/2969/0000002969-19-000051.txt,1.71,2020-11-19,2969_0000002969-20-000049.mda,https://www.sec.gov/Archives/edgar/data/2969/0000002969-20-000049.txt,0.72,0.04,0.01,-0.02,0.01,-0.02,0.00,0.00,0.00,0.01,0.00
145,NUE,Nucor,reports,Materials,Steel,Charlotte; North Carolina,1985-04-30,73309,1940,2016-02-26,73309_0001193125-16-481119.mda,https://www.sec.gov/Archives/edgar/data/73309/0001193125-16-481119.txt,0.00,2017-02-28,73309_0001193125-17-062124.mda,https://www.sec.gov/Archives/edgar/data/73309/0001193125-17-062124.txt,0.00,2018-02-28,73309_0001193125-18-064018.mda,https://www.sec.gov/Archives/edgar/data/73309/0001193125-18-064018.txt,0.00,2019-02-28,73309_0001193125-19-057744.mda,https://www.sec.gov/Archives/edgar/data/73309/0001193125-19-057744.txt,0.00,2020-02-28,73309_0001564590-20-007794.mda,https://www.sec.gov/Archives/edgar/data/73309/0001564590-20-007794.txt,0.51,-0.05,0.02,-0.03,-0.01,0.03,0.00,-0.03,0.02,0.08,-0.01
146,PKI,PerkinElmer,reports,Health Care,Health Care Equipment,Waltham; Massachusetts,1985-05-31,31791,1937,2016-03-01,31791_0000031791-16-000014.mda,https://www.sec.gov/Archives/edgar/data/31791/0000031791-16-000014.txt,0.38,2017-02-28,31791_0000031791-17-000003.mda,https://www.sec.gov/Archives/edgar/data/31791/0000031791-17-000003.txt,-0.02,2018-02-27,31791_0000031791-18-000004.mda,https://www.sec.gov/Archives/edgar/data/31791/0000031791-18-000004.txt,0.16,2019-02-26,31791_0000031791-19-000003.mda,https://www.sec.gov/Archives/edgar/data/31791/0000031791-19-000003.txt,1.67,2020-02-25,31791_0000031791-20-000003.mda,https://www.sec.gov/Archives/edgar/data/31791/0000031791-20-000003.txt,1.00,-0.03,-0.03,0.01,0.00,-0.03,-0.02,-0.02,0.00,0.01,0.04
147,NOC,Northrop Grumman,reports,Industrials,Aerospace & Defense,West Falls Church; Virginia,1985-06-30,1133421,1994 (Northrop 1939; Grumman 1930),2016-02-01,1133421_0001133421-16-000065.mda,https://www.sec.gov/Archives/edgar/data/1133421/0001133421-16-000065.txt,-1.80,2017-01-30,1133421_0001133421-17-000008.mda,https://www.sec.gov/Archives/edgar/data/1133421/0001133421-17-000008.txt,-1.46,2018-01-29,1133421_0001133421-18-000005.mda,https://www.sec.gov/Archives/edgar/data/1133421/0001133421-18-000005.txt,0.85,2019-01-31,1133421_0001133421-19-000007.mda,https://www.sec.gov/Archives/edgar/data/1133421/0001133421-19-000007.txt,1.25,2020-01-30,1133421_0001133421-20-000006.mda,https://www.sec.gov/Archives/edgar/data/1133421/0001133421-20-000006.txt,1.82,-0.05,-0.02,-0.01,-0.03,-0.05,0.00,0.01,0.00,-0.02,-0.01
148,CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities,Houston; Texas,1985-07-31,1130310,1882,2016-02-26,1130310_0001130310-16-000031.mda,https://www.sec.gov/Archives/edgar/data/1130310/0001130310-16-000031.txt,-1.69,2017-02-28,1130310_0001130310-17-000006.mda,https://www.sec.gov/Archives/edgar/data/1130310/0001130310-17-000006.txt,0.00,2018-02-22,1130310_0001130310-18-000003.mda,https://www.sec.gov/Archives/edgar/data/1130310/0001130310-18-000003.txt,-1.93,2019-02-28,1130310_0001130310-19-000016.mda,https://www.sec.gov/Archives/edgar/data/1130310/0001130310-19-000016.txt,-1.38,2020-02-27,1130310_0001130310-20-000016.mda,https://www.sec.gov/Archives/edgar/data/1130310/0001130310-20-000016.txt,-1.36,-0.06,-0.04,-0.04,-0.03,0.02,0.06,0.05,0.03,0.02,-0.03
149,TJX,TJX Companies,reports,Consumer Discretionary,Apparel Retail,Framingham; Massachusetts,1985-09-30,109198,1987,2016-03-29,109198_0001193125-16-521424.mda,https://www.sec.gov/Archives/edgar/data/109198/0001193125-16-521424.txt,3.72,2017-03-28,109198_0001193125-17-099642.mda,https://www.sec.gov/Archives/edgar/data/109198/0001193125-17-099642.txt,2.96,2018-04-04,109198_0001193125-18-107423.mda,https://www.sec.gov/Archives/edgar/data/109198/0001193125-18-107423.txt,2.86,2019-04-03,109198_0001628280-19-003834.mda,https://www.sec.gov/Archives/edgar/data/109198/0001628280-19-003834.txt,3.05,2020-03-27,109198_0000109198-20-000004.mda,https://www.sec.gov/Archives/edgar/data/109198/0000109198-20-000004.txt,1.72,-0.15,-0.01,0.03,0.02,0.00,0.03,-0.02,0.02,0.00,0.01
150,DOV,Dover Corporation,reports,Industrials,Industrial Machinery,Downers Grove; Illinois,1985-10-31,29905,1955,2016-02-12,29905_0000029905-16-000064.mda,https://www.sec.gov/Archives/edgar/data/29905/0000029905-16-000064.txt,-0.63,2017-02-10,29905_0000029905-17-000011.mda,https://www.sec.gov/Archives/edgar/data/29905/0000029905-17-000011.txt,-1.93,2018-02-09,29905_0000029905-18-000013.mda,https://www.sec.gov/Archives/edgar/data/29905/0000029905-18-000013.txt,2.13,2019-02-15,29905_0000029905-19-000019.mda,https://www.sec.gov/Archives/edgar/data/29905/0000029905-19-000019.txt,4.04,2020-02-14,29905_0000029905-20-000011.mda,https://www.sec.gov/Archives/edgar/data/29905/0000029905-20-000011.txt,2.83,0.00,0.00,0.03,0.01,0.05,0.02,0.01,0.01,0.06,0.00
151,PH,Parker-Hannifin,reports,Industrials,Industrial Machinery,Cleveland; Ohio,1985-11-30,76334,1917,2016-08-26,76334_0000076334-16-000196.mda,https://www.sec.gov/Archives/edgar/data/76334/0000076334-16-000196.txt,-0.51,2017-08-25,76334_0000076334-17-000095.mda,https://www.sec.gov/Archives/edgar/data/76334/0000076334-17-000095.txt,0.37,2018-08-24,76334_0000076334-18-000087.mda,https://www.sec.gov/Archives/edgar/data/76334/0000076334-18-000087.txt,2.64,2019-08-23,76334_0000076334-19-000096.mda,https://www.sec.gov/Archives/edgar/data/76334/0000076334-19-000096.txt,1.73,2020-08-26,76334_0000076334-20-000099.mda,https://www.sec.gov/Archives/edgar/data/76334/0000076334-20-000099.txt,-1.30,0.02,-0.01,0.01,-0.04,0.04,0.03,0.04,0.00,0.00,0.00
152,ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,Glenview; Illinois,1986-02-28,49826,1912,2016-02-12,49826_0000049826-16-000151.mda,https://www.sec.gov/Archives/edgar/data/49826/0000049826-16-000151.txt,3.13,2017-02-10,49826_0000049826-17-000022.mda,https://www.sec.gov/Archives/edgar/data/49826/0000049826-17-000022.txt,4.11,2018-02-15,49826_0000049826-18-000017.mda,https://www.sec.gov/Archives/edgar/data/49826/0000049826-18-000017.txt,5.75,2019-02-15,49826_0000049826-19-000021.mda,https://www.sec.gov/Archives/edgar/data/49826/0000049826-19-000021.txt,5.25,2020-02-14,49826_0000049826-20-000020.mda,https://www.sec.gov/Archives/edgar/data/49826/0000049826-20-000020.txt,2.09,0.00,-0.01,0.04,0.03,0.01,0.00,0.02,0.02,0.07,0.00
153,GPS,Gap,reports,Consumer Discretionary,Apparel Retail,San Francisco; California,1986-08-31,39911,1969,2016-03-21,39911_0000039911-16-000269.mda,https://www.sec.gov/Archives/edgar/data/39911/0000039911-16-000269.txt,-0.20,2017-03-20,39911_0000039911-17-000058.mda,https://www.sec.gov/Archives/edgar/data/39911/0000039911-17-000058.txt,-0.07,2018-03-20,39911_0000039911-18-000048.mda,https://www.sec.gov/Archives/edgar/data/39911/0000039911-18-000048.txt,1.26,2019-03-19,39911_0000039911-19-000023.mda,https://www.sec.gov/Archives/edgar/data/39911/0000039911-19-000023.txt,0.95,2020-03-17,39911_0000039911-20-000019.mda,https://www.sec.gov/Archives/edgar/data/39911/0000039911-20-000019.txt,-1.59,-0.03,-0.05,-0.01,-0.01,-0.05,0.00,-0.01,-0.03,-0.03,-0.03
154,MDT,Medtronic,reports,Health Care,Health Care Equipment,Dublin; Ireland,1986-10-31,1613103,1949,2016-06-28,1613103_0001613103-16-000093.mda,https://www.sec.gov/Archives/edgar/data/1613103/0001613103-16-000093.txt,4.90,2017-06-27,1613103_0001613103-17-000018.mda,https://www.sec.gov/Archives/edgar/data/1613103/0001613103-17-000018.txt,4.47,2018-06-22,1613103_0001613103-18-000024.mda,https://www.sec.gov/Archives/edgar/data/1613103/0001613103-18-000024.txt,5.40,2019-06-21,1613103_0001613103-19-000028.mda,https://www.sec.gov/Archives/edgar/data/1613103/0001613103-19-000028.txt,4.76,2020-06-19,1613103_0001613103-20-000021.mda,https://www.sec.gov/Archives/edgar/data/1613103/0001613103-20-000021.txt,1.63,-0.06,-0.01,-0.02,0.00,-0.01,0.01,0.00,0.00,0.06,0.04
155,SYY,Sysco,reports,Consumer Staples,Food Distributors,Houston; Texas,1986-12-31,96021,1969,2016-08-30,96021_0000096021-16-000275.mda,https://www.sec.gov/Archives/edgar/data/96021/0000096021-16-000275.txt,3.53,2017-08-30,96021_0000096021-17-000120.mda,https://www.sec.gov/Archives/edgar/data/96021/0000096021-17-000120.txt,3.86,2018-08-27,96021_0000096021-18-000126.mda,https://www.sec.gov/Archives/edgar/data/96021/0000096021-18-000126.txt,3.46,2019-08-26,96021_0000096021-19-000093.mda,https://www.sec.gov/Archives/edgar/data/96021/0000096021-19-000093.txt,3.50,2020-08-26,96021_0000096021-20-000100.mda,https://www.sec.gov/Archives/edgar/data/96021/0000096021-20-000100.txt,-0.71,0.05,0.03,0.02,0.01,0.01,0.00,0.01,0.01,0.02,-0.01
156,MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,New York City; New York,1987-08-31,62709,1905,2016-02-24,62709_0000062709-16-000040.mda,https://www.sec.gov/Archives/edgar/data/62709/0000062709-16-000040.txt,2.22,2017-02-24,62709_0000062709-17-000008.mda,https://www.sec.gov/Archives/edgar/data/62709/0000062709-17-000008.txt,0.00,2018-02-22,62709_0000062709-18-000007.mda,https://www.sec.gov/Archives/edgar/data/62709/0000062709-18-000007.txt,3.85,2019-02-21,62709_0000062709-19-000010.mda,https://www.sec.gov/Archives/edgar/data/62709/0000062709-19-000010.txt,3.33,2020-02-20,62709_0000062709-20-000010.mda,https://www.sec.gov/Archives/edgar/data/62709/0000062709-20-000010.txt,1.71,-0.10,-0.02,0.01,0.01,-0.01,0.01,0.01,0.00,0.01,0.01
157,AVY,Avery Dennison,reports,Materials,Paper Packaging,Glendale; California,1987-12-31,8818,1990,2016-02-24,8818_0001047469-16-010376.mda,https://www.sec.gov/Archives/edgar/data/8818/0001047469-16-010376.txt,0.00,2017-02-23,8818_0001047469-17-000881.mda,https://www.sec.gov/Archives/edgar/data/8818/0001047469-17-000881.txt,0.00,2018-02-21,8818_0001047469-18-000931.mda,https://www.sec.gov/Archives/edgar/data/8818/0001047469-18-000931.txt,0.00,2019-02-27,8818_0001047469-19-000747.mda,https://www.sec.gov/Archives/edgar/data/8818/0001047469-19-000747.txt,0.00,2020-02-26,8818_0001104659-20-025360.mda,https://www.sec.gov/Archives/edgar/data/8818/0001104659-20-025360.txt,0.00,0.00,-0.05,0.01,0.01,0.01,0.01,0.02,0.01,0.05,0.04
158,HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,Atlanta; Georgia,1988-03-31,354950,1978,2016-03-24,354950_0000354950-16-000060.mda,https://www.sec.gov/Archives/edgar/data/354950/0000354950-16-000060.txt,3.85,2017-03-23,354950_0000354950-17-000005.mda,https://www.sec.gov/Archives/edgar/data/354950/0000354950-17-000005.txt,5.20,2018-03-22,354950_0000354950-18-000019.mda,https://www.sec.gov/Archives/edgar/data/354950/0000354950-18-000019.txt,3.54,2019-03-28,354950_0000354950-19-000010.mda,https://www.sec.gov/Archives/edgar/data/354950/0000354950-19-000010.txt,4.18,2020-03-25,354950_0000354950-20-000015.mda,https://www.sec.gov/Archives/edgar/data/354950/0000354950-20-000015.txt,1.83,-0.03,0.06,0.06,0.01,0.00,-0.03,0.00,0.00,0.02,0.00
159,PNC,PNC Financial Services,reports,Financials,Regional Banks,Pittsburgh; Pennsylvania,1988-04-30,713676,1845,2016-02-29,713676_0001193125-16-482577.mda,https://www.sec.gov/Archives/edgar/data/713676/0001193125-16-482577.txt,0.16,2017-02-28,713676_0001193125-17-062524.mda,https://www.sec.gov/Archives/edgar/data/713676/0001193125-17-062524.txt,0.76,2018-02-28,713676_0000713676-18-000032.mda,https://www.sec.gov/Archives/edgar/data/713676/0000713676-18-000032.txt,1.62,2019-03-01,713676_0000713676-19-000015.mda,https://www.sec.gov/Archives/edgar/data/713676/0000713676-19-000015.txt,1.99,2020-03-02,713676_0000713676-20-000042.mda,https://www.sec.gov/Archives/edgar/data/713676/0000713676-20-000042.txt,2.20,-0.26,-0.05,0.01,0.00,0.00,-0.03,-0.01,0.02,0.07,0.04
160,C,Citigroup,reports,Financials,Diversified Banks,New York City; New York,1988-05-31,831001,1998,2016-02-26,831001_0000831001-16-000235.mda,https://www.sec.gov/Archives/edgar/data/831001/0000831001-16-000235.txt,0.00,2017-02-24,831001_0000831001-17-000038.mda,https://www.sec.gov/Archives/edgar/data/831001/0000831001-17-000038.txt,0.00,2018-02-23,831001_0000831001-18-000040.mda,https://www.sec.gov/Archives/edgar/data/831001/0000831001-18-000040.txt,0.00,2019-02-22,831001_0000831001-19-000027.mda,https://www.sec.gov/Archives/edgar/data/831001/0000831001-19-000027.txt,0.00,2020-02-21,831001_0000831001-20-000031.mda,https://www.sec.gov/Archives/edgar/data/831001/0000831001-20-000031.txt,0.00,-0.19,-0.07,0.00,0.00,-0.03,0.02,0.01,-0.01,0.11,0.01
161,NKE,Nike,reports,Consumer Discretionary,Apparel; Accessories & Luxury Goods,Washington County; Oregon,1988-11-30,320187,1964,2016-07-21,320187_0000320187-16-000336.mda,https://www.sec.gov/Archives/edgar/data/320187/0000320187-16-000336.txt,5.28,2017-07-20,320187_0000320187-17-000090.mda,https://www.sec.gov/Archives/edgar/data/320187/0000320187-17-000090.txt,4.52,2018-07-25,320187_0000320187-18-000142.mda,https://www.sec.gov/Archives/edgar/data/320187/0000320187-18-000142.txt,3.65,2019-07-23,320187_0000320187-19-000051.mda,https://www.sec.gov/Archives/edgar/data/320187/0000320187-19-000051.txt,5.99,2020-07-24,320187_0000320187-20-000047.mda,https://www.sec.gov/Archives/edgar/data/320187/0000320187-20-000047.txt,-0.55,-0.01,-0.01,0.01,0.01,0.03,0.03,0.01,0.04,-0.04,-0.02
162,ECL,Ecolab,reports,Materials,Specialty Chemicals,Saint Paul; Minnesota,1989-01-31,31462,1923,2016-02-26,31462_0001558370-16-003581.mda,https://www.sec.gov/Archives/edgar/data/31462/0001558370-16-003581.txt,2.95,2017-02-24,31462_0001558370-17-000944.mda,https://www.sec.gov/Archives/edgar/data/31462/0001558370-17-000944.txt,2.30,2018-02-23,31462_0001558370-18-000999.mda,https://www.sec.gov/Archives/edgar/data/31462/0001558370-18-000999.txt,2.76,2019-03-01,31462_0001558370-19-001379.mda,https://www.sec.gov/Archives/edgar/data/31462/0001558370-19-001379.txt,3.57,2020-02-28,31462_0001558370-20-001788.mda,https://www.sec.gov/Archives/edgar/data/31462/0001558370-20-001788.txt,3.63,0.06,0.04,0.00,0.00,-0.01,0.02,0.02,0.01,0.03,-0.01
163,GL,Globe Life,reports,Financials,Life & Health Insurance,McKinney; Texas,1989-04-30,320335,1900,2016-02-26,320335_0000320335-16-000059.mda,https://www.sec.gov/Archives/edgar/data/320335/0000320335-16-000059.txt,1.01,2017-02-27,320335_0000320335-17-000010.mda,https://www.sec.gov/Archives/edgar/data/320335/0000320335-17-000010.txt,1.28,2018-02-27,320335_0000320335-18-000006.mda,https://www.sec.gov/Archives/edgar/data/320335/0000320335-18-000006.txt,3.23,2019-03-01,320335_0000320335-19-000006.mda,https://www.sec.gov/Archives/edgar/data/320335/0000320335-19-000006.txt,3.13,2020-02-27,320335_0000320335-20-000008.mda,https://www.sec.gov/Archives/edgar/data/320335/0000320335-20-000008.txt,3.96,-0.11,-0.08,-0.02,0.00,-0.03,-0.03,0.01,0.00,0.04,0.00
164,NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,Atlanta; Georgia,1989-04-30,814453,1903,2016-02-29,814453_0000814453-16-000176.mda,https://www.sec.gov/Archives/edgar/data/814453/0000814453-16-000176.txt,1.93,2017-03-01,814453_0000814453-17-000027.mda,https://www.sec.gov/Archives/edgar/data/814453/0000814453-17-000027.txt,0.52,2018-03-01,814453_0001193125-18-067603.mda,https://www.sec.gov/Archives/edgar/data/814453/0001193125-18-067603.txt,0.50,2019-03-04,814453_0001193125-19-061714.mda,https://www.sec.gov/Archives/edgar/data/814453/0001193125-19-061714.txt,-2.69,2020-03-02,814453_0000814453-20-000078.mda,https://www.sec.gov/Archives/edgar/data/814453/0000814453-20-000078.txt,-3.34,-0.17,-0.06,-0.03,-0.01,0.08,0.04,-0.01,0.01,0.04,0.04
